aa, 5, 83
ab, 10, 24
aback, 4, 75
abandon, 285, 973
abate, 27, 23
abate, 27, 23
abating, 4, 9
abet, 4, 10
abide, 97, 741
abode, 28, 30
abortive, 22, 32
about, 19163, 255429
abscond, 1, 41
ac, 8, 6
accept, 8179, 24597
accommodate, 76, 1459
accord, 319, 369
accustom, 7, 1
acknowledge, 369, 6003
acquire, 725, 690
acquit, 71, 16
acrid, 1, 2
ad, 257, 493
addition, 3075, 4152
aden, 35, 68
adjust, 139, 507
admiral, 295, 132
admire, 99, 554
ado, 3, 10
adorn, 15, 13
affect, 1952, 6370
affecting, 1358, 2425
affirmative, 91, 790
afflict, 3, 37
agence, 1, 2
agitate, 15, 22
agree, 9514, 67291
agricole, 1, 1
air, 1224, 6508